assessment,knapper,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,max_length
9,7,24.60244,33.41624,41.42232,47.22368,52.03444,54.4957,52.87772,49.79416,39.2176,10.096,16.665,21.196,23.841,24.571,25.058,23.598,20.8,15.387,82.042
1,8,14.17574,22.36216,32.35198,45.93844,60.66282,71.82612,81.8515,76.93152,62.42558,14.873,20.491,20.935,22.887,22.295,22.177,19.545,15.613,12.981,90.5256
2,8,12.41298,20.71116,27.17292,34.81324,41.42232,48.10506,53.98008,61.61786,63.01486,8.898,17.33,20.41,21.779,27.939,31.237,28.873,25.139,21.126,84.7598
5,8,22.58314,32.97682,40.68826,48.32604,49.28108,45.75556,44.02836,39.36492,31.17596,7.692,13.609,22.921,32.14,33.323,31.268,26.908,21.457,12.737,68.8848
1,9,57.35828,65.36436,73.66254,82.1817,89.9668,86.80958,78.62062,66.9798,52.07,33.121,46.446,58.495,61.433,63.452,63.066,62.858,60.602,45.407,120.015
2,9,22.3266,34.37128,51.04384,52.36464,55.1561,53.90642,53.87086,52.03444,42.00906,11.992,16.511,23.491,26.843,25.182,25.797,23.952,23.399,20.14,87.4776
3,9,25.19172,30.95498,35.62096,38.96106,42.00906,43.88104,34.4805,35.91306,33.19526,11.21,16.199,22.112,23.929,26.978,24.884,23.929,23.252,17.924,78.994
5,9,17.55394,30.69844,37.82314,43.3324,46.89348,45.0215,47.81042,46.48962,44.57954,8.95,13.18,21.395,27.679,33.534,34.361,28.507,24.277,16.154,91.7194
6,9,30.99308,39.62146,50.0888,55.8165,60.33262,59.96686,62.46368,63.2333,56.07304,18.528,26.534,32.331,36.718,35.307,34.571,31.718,29.816,19.417,101.6
7,9,44.72686,51.85156,54.60492,56.55056,53.467,60.81014,57.43194,51.04384,35.47364,20.468,35.584,45.012,48.51,48.631,49.088,47.78,44.069,37.682,89.7382
8,9,33.34258,42.66946,49.53762,56.03748,61.69152,71.09206,73.66254,63.9699,47.88408,16.041,22.76,28.662,34.715,34.685,38.196,39.074,33.111,22.458,147.2438
9,9,27.35834,42.2656,47.26178,51.70424,56.95442,61.28766,61.50864,60.37072,61.47054,14.416,18.248,22.78,26.582,32.056,31.752,30.87,34.155,26.916,129.286
1,22,41.391,60.348,84.174,97.217,95.826,92.087,92.783,80.522,64.217,24.978,33.203,41.688,47.576,50.346,55.498,51.818,51.299,40.476,192.93
1,23,38.982,64.582,74.691,79.418,83.927,87.418,94.836,79.2,52.655,43.429,52.714,60.5,60.536,60.071,57.857,59.143,58.964,50.143,143.64
1,24,55.865,75.263,96.015,104.474,113.759,115.977,105.263,75.038,69.925,50.945,59.636,67.527,72.109,67.2,67.127,63.927,64.836,56.473,162.86
1,25,14.906,36.906,61.774,83.509,92.981,100.226,101.132,90.226,63.925,17.687,28.918,33.769,40,38.955,36.007,33.582,30.933,25.784,121.51
1,26,37.331,66.09,77.82,89.361,88.684,87.218,84.211,75.865,61.617,16.854,29.476,39.625,47.678,54.869,56.255,56.03,62.921,63.521,143.95
1,27,39.602,60.428,75.413,78.532,76.606,78.502,83.976,71.07,56.055,25.107,32.324,35.688,39.419,44.067,47.645,48.349,47.829,45.719,127.58
1,28,26.917,57.218,65.902,84.436,89.774,86.767,77.744,70.263,63.308,43.158,48.346,46.316,45.113,45.263,44.962,45.639,41.579,33.008,127.82
1,31,43.296,54.981,68.39,79.738,84.831,82.996,80.037,71.835,52.434,36.604,50.821,56.903,62.239,62.537,63.06,62.575,52.799,34.851,127.68
1,32,55.431,90.388,106.638,131.552,143.103,143.836,123.405,98.793,72.629,24.262,40.533,50.574,55.902,62.09,61.598,59.18,55.246,37.049,177.89
1,33,30.752,54.023,70.827,84.962,93.985,95.865,95.865,83.797,64.173,14.045,24.831,34.494,46.816,55.73,55.468,54.906,53.558,41.648,119.21
1,34,59.023,81.165,89.962,95.414,99.135,98.985,99.023,84.699,67.481,25.899,40.216,45.468,48.849,50.504,48.849,45.899,43.022,34.388,156.2
1,35,58.657,76.343,91.791,105.97,106.343,115.149,118.843,112.537,90.746,16.222,26.074,34.37,45.333,56.815,65.259,67.963,63.667,57.259,138.13
1,37,40.225,51.76,59.738,64.27,68.989,70.936,72.434,73.109,67.79,33.034,53.783,53.633,53.708,59.176,59.625,57.828,51.086,41.049,106.89
10,bb_1,31.533,45.533,58.533,69.333,77.667,85.133,89.533,89.667,74.467,12.077,18.083,21.278,24.665,25.495,27.923,28.626,24.76,16.837,167.67
10,bb_2,32.642,51.179,65.366,78.13,85.203,94.024,99.675,100.61,88.943,11.284,21.401,26.654,30.272,37.121,43.658,44.747,34.397,22.84,174.8
10,bb_3,26.766,42.333,58.057,68.045,78.112,86.539,96.528,98.049,86.617,12.273,18.371,21.15,22.308,25.434,32.034,29.873,26.862,20.301,167.69
10,bb_4,25,38.619,54.514,62.731,72.955,82.832,87.461,91.088,86.96,11.196,17.753,26.495,30.291,32.669,36.58,36.618,29.256,20.667,181.64
10,ds_1,31.761,54.73,69.654,83.766,96.266,101.769,99.214,90.016,66.588,13.232,21.065,22.738,24.563,30.722,31.293,31.255,29.392,19.848,210.45
10,ds_2,38.04,50.836,60.054,70.79,82.303,89.459,92.571,88.526,64.138,15.645,25.314,31.785,37.571,41.264,40.236,41.226,36.582,27.598,158.03
10,ds_3,42.108,59.595,78.049,94.662,107.133,114.956,115.048,109.02,87.713,15.228,20.363,22.222,24.79,30.899,31.784,30.766,26.029,19.832,151.22
10,jl_1,48.016,66.883,78.704,91.984,101.336,105.83,111.903,112.955,92.794,6.616,16.578,24.601,29.049,32.015,35.095,37.795,26.768,11.141,175.55
10,jl_2,34.132,56.529,72.231,90.413,102.81,114.298,119.174,112.231,79.008,9.474,14.812,20.075,28.346,33.12,42.18,41.015,43.233,33.534,198.6
10,jl_4,67.41,92.59,106.693,111.633,116.175,112.112,115.139,99.92,76.733,17.947,26.844,35.095,41.179,44.335,46.16,44.639,40.532,26.236,165.34
